"frame","x [nm]","y [nm]","intensity [photon]"
2,3056.89841,3100.35663,290459.13272
2,3410.01202,22878.2772,311496.65133
2,4287.1449,7783.74928,64651.00702
2,4745.09328,18853.91684,310171.35524
2,6287.8351,1804.69294,21794.23582
2,14701.15356,3739.19936,15916.33301
2,24508.7977,9964.68748,31245.10408
2,28849.17597,2289.25623,224001.57306
2,30189.46001,6825.66449,35879.94973
2,32407.44452,8024.27366,79761.88694
2,33726.05886,17476.92241,35598.90517
2,38788.5687,17313.9936,18081.40626
2,43365.92743,23582.07479,122360.86923
2,45666.3436,17143.42931,5895.74351
3,3055.21182,3006.68237,202935.43926
3,3764.25574,18396.35593,265344.11158
3,3550.64956,23764.19923,403764.61489
3,4647.66614,7643.66396,32344.11053
3,6507.56981,1863.02306,12914.23177
3,14690.68538,3431.91481,33760.42467
3,14881.04198,21588.35347,5755.97247
3,21328.54342,14349.48037,17594.98731
3,23673.84771,9566.24501,9787.85493
3,24146.41163,14070.73448,210975.93091
3,25058.13841,9699.39698,174355.70131
3,28909.26247,1775.31276,71149.62884
3,31419.76052,7879.74862,44311.78006
3,32863.80749,6303.90795,258212.14654
3,33709.71619,17715.84582,35032.13991
3,43859.13929,23920.79624,118613.89292
3,45830.43528,17366.50405,56626.85861
3,60623.76529,17207.86727,13959.55141
4,2776.92932,3318.4683,41874.62938
4,3176.30538,24706.29924,784011.4621
4,4137.45581,18607.27055,99531.99891
4,5091.83974,19875.4274,290030.74291
4,14794.86843,21829.26356,14449.01505
4,24010.90621,14139.24115,28072.39772
4,24889.61431,9825.30347,27341.55806
4,29785.25305,1472.11779,90217.27973
4,32361.38926,8234.60918,31862.78445
4,33091.66016,17709.99449,38154.24332
4,33231.61313,6690.30981,18454.54951
4,38835.67102,17221.24899,25526.13576
4,42498.83763,3427.10671,481616.30825
4,44309.36952,23667.01425,88938.88992
4,45185.30753,1619.22038,15235.44233
4,46320.14964,16413.72318,12264.37956
5,3392.25913,3230.62558,335443.21223
5,3763.44554,18052.12546,76627.57518
5,15359.64228,20956.89278,17710.99662
5,18496.00966,12670.1801,135415.56178
5,24424.74095,20960.27686,572626.82505
5,24907.36573,9451.3621,34032.65534
5,30048.90177,1098.46563,124232.29937
5,33082.9183,7461.70118,12107.2839
5,33164.07541,17900.54576,34178.5823
5,39530.32285,17550.43876,12413.18466
5,39831.49834,19333.95942,6852.85902
5,40888.45517,12662.72113,15193.782
5,43956.68989,23893.1743,141540.72641
5,45211.74417,1826.04447,39958.44497
5,46882.28362,16942.26432,20872.19567
5,51284.17887,18931.74336,82428.38917
5,57115.19589,4592.05067,22618.88411
5,61206.51205,12237.2191,17682.70184
6,3834.20389,3150.07459,322957.09462
6,4292.04175,17841.17891,5865.19037
6,5771.27817,24741.3655,141285.11396
6,7771.79822,10672.25128,52957.92997
6,17642.23165,4025.703,348470.28018
6,21292.9505,15057.64284,67950.39846
6,25156.63212,9524.47648,40760.24277
6,29088.4621,1152.32952,232014.33346
6,32232.10513,6850.38788,15853.87624
6,32909.0355,17568.28541,34036.69619
6,40452.608,18190.66857,32163.80801
6,43389.04285,24354.19924,109239.6168
6,45734.25307,2128.56633,14177.96192
6,45767.90442,19178.14576,24207.08952
6,46795.05447,17582.66523,34053.84317
6,57329.42422,4491.59361,16330.24188
6,60807.11213,16920.01054,7449.81099
7,3628.4506,19383.12323,79898.40086
7,4311.09882,3537.87799,107405.59125
7,4449.83577,1514.11175,30114.50939
7,7933.44451,10320.19155,33876.30996
7,15004.65686,3954.26343,23664.45629
7,16024.77707,17932.52716,2070.47462
7,17683.07349,3993.94289,21726.16557
7,21895.58606,15374.4059,54171.52214
7,24669.49138,13279.17929,2107.90291
7,25525.37658,9416.35747,23075.90832
7,32967.49256,17999.01769,30461.42729
7,42286.53408,22903.97714,5802.26319
7,45522.57277,1732.17436,40301.0782
7,46429.61762,19484.45999,22269.56015
7,47078.9766,17334.11062,17965.55926
8,4437.90751,4363.74632,106676.0999
8,4590.01721,2297.70644,13120.6185
8,8852.04806,10544.39483,57284.82074
8,15282.21822,4039.68597,22867.70963
8,17796.98213,4117.593,243092.88936
8,21411.14582,15260.19687,43432.63355
8,24861.08275,19720.84597,21650.79208
8,25169.50868,11800.08612,5019.99581
8,25745.78089,9341.8123,119550.61785
8,32947.71226,17271.6613,37208.32954
8,33676.45825,7074.49948,18799.32609
8,42715.17068,23692.51783,120845.86151
8,45318.01177,4231.31729,13766.53128
8,47226.29975,17368.60558,32073.67545
8,50079.92186,14357.70219,50214.6946
8,60096.52829,6208.08495,3515.95251
9,3627.42594,23953.20271,13391.07585
9,4430.30246,1098.58884,14654.32758
9,4418.38648,18595.09284,468598.61156
9,4716.63225,4692.31214,137076.88622
9,8975.88495,10020.90474,193175.43038
9,10918.28728,16665.1993,12515.03514
9,15358.66427,4308.14377,17445.69235
9,17943.54111,4426.90222,36528.41732
9,21203.96847,15372.72341,64853.04801
9,23798.75593,11963.71136,77934.1809
9,25426.00318,9055.07866,26176.8238
9,32255.8039,17127.04509,33685.73524
9,33672.0033,6604.2707,155078.16354
9,39311.92722,18077.27682,25398.76037
9,42828.90119,24006.77923,72677.91457
9,43149.34269,11104.78898,185216.97517
