"frame","x [nm]","y [nm]","intensity [photon]"
2,1895.751,1922.702,290459.133
2,2114.736,14188.079,311496.651
2,2658.695,4827.131,64651.007
2,2893.221,11683.353,20562.548
2,3896.623,1120.01,18294.467
2,9110.363,2316.714,31089.172
2,15199.254,6179.651,31245.104
2,17890.962,1419.694,224001.573
2,18722.146,4232.97,35879.95
2,20097.64,4976.294,79761.887
2,20915.385,10838.401,35598.905
2,24054.926,10737.36,18081.406
2,26893.598,14624.543,122360.869
3,1894.705,1864.609,202935.439
3,2212.774,14718.788,542345.769
3,2882.274,4740.257,32344.111
3,4035.702,1155.363,12914.232
3,9110.503,2128.319,33760.425
3,9228.553,13388.126,5755.972
3,13227.004,8898.903,17594.987
3,14681.456,5932.555,9787.855
3,14974.519,8726.037,210975.931
3,15539.931,6015.13,174355.701
3,17928.225,1100.969,71149.629
3,19485.123,4886.666,44311.78
3,20380.656,3909.4,258212.147
3,20905.25,10986.571,35032.14
3,27199.462,14834.467,116522.794
3,28421.975,10769.925,56626.859
3,37591.946,10673.631,10552.609
4,1722.127,2057.965,41874.629
4,3157.73,12325.846,290030.743
4,9175.112,13537.528,14449.015
4,14890.484,8768.522,28072.398
4,15434.705,6093.444,26421.363
4,18471.475,912.941,90217.28
4,20069.079,5106.734,31862.784
4,20521.96,10982.942,38154.243
4,24084.137,10679.844,25526.136
4,26328.945,2209.573,523630.229
4,27478.679,14677.218,88938.89
4,28021.896,1004.168,15235.442
5,2103.727,2003.489,335443.212
5,2333.92,11195.117,76627.575
5,9525.36,12996.523,17710.997
5,11470.394,7857.476,135415.562
5,15207.267,12941.573,464539.625
5,15446.428,5861.31,34032.655
5,20528.552,4595.204,330451.653
5,20566.868,11101.114,34178.582
5,24701.704,11990.052,6852.859
5,25357.456,7853.761,14389.674
5,27259.963,14817.472,141540.726
5,28038.291,1132.431,39958.445
5,29074.284,10506.831,20872.196
5,31804.142,11740.616,82428.389
5,35420.277,2847.783,22618.884
5,37957.527,7588.973,17682.702
6,2377.801,1953.535,322957.095
6,2661.635,11063.825,5618.692
6,4819.72,6618.45,52957.93
6,10940.919,2496.56,348470.28
6,13204.931,9338.073,67950.398
6,15601.012,5906.652,40760.243
6,20408.704,10895.061,34036.696
6,25086.889,11281.035,32163.808
6,26907.934,15103.379,109239.617
6,28362.327,1320.041,14177.962
6,28383.197,11893.424,24207.09
6,29020.189,10903.978,34053.843
6,35553.131,2785.484,16330.242
6,37709.837,10493.03,7449.811
7,2250.202,12020.542,79898.401
7,2673.55,2194.033,107405.591
7,2759.588,938.984,30114.509
7,4919.966,6400.119,33876.31
7,9305.214,2452.256,23664.456
7,9851.128,10982.35,433724.083
7,10966.247,2476.864,21726.166
7,13578.658,9534.515,54171.522
7,15298.909,8235.15,2107.903
